#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 338.94  4.93871e-14
 338.95  5.50749e-14
 338.96  6.06550e-14
 338.97  6.73479e-14
 338.99  6.00636e-14
 339.00  5.54172e-14
 339.01  5.69535e-14
 339.03  5.66057e-14
 339.04  5.64023e-14
 339.05  4.46217e-14
 339.07  4.60066e-14
 339.08  3.64576e-14
 339.09  4.06315e-14
 339.10  3.05890e-14
 339.12  2.92685e-14
 339.13  2.90972e-14
 339.14  3.81843e-14
 339.16  4.72044e-14
 339.17  4.00266e-14
 339.18  4.78352e-14
 339.20  5.10546e-14
 339.21  3.62475e-14
 339.22  3.46276e-14
 339.23  3.42448e-14
 339.25  3.92610e-14
 339.26  3.08940e-14
 339.27  2.90967e-14
 339.29  2.73322e-14
 339.30  2.00717e-14
 339.31  1.89699e-14
 339.33  2.14601e-14
 339.34  2.93408e-14
 339.35  3.33126e-14
 339.36  3.15427e-14
 339.38  3.71667e-14
 339.39  4.93288e-14
 339.40  3.79466e-14
 339.42  4.70950e-14
 339.43  4.01356e-14
 339.44  4.17018e-14
 339.46  4.12579e-14
 339.47  4.36548e-14
 339.48  5.86373e-14
 339.49  6.38911e-14
 339.51  6.22584e-14
 339.52  6.55649e-14
 339.53  5.44308e-14
 339.55  4.51163e-14
 339.56  4.42178e-14
 339.57  4.26117e-14
 339.59  4.84564e-14
 339.60  5.85329e-14
 339.61  5.37110e-14
 339.62  4.38152e-14
 339.64  4.12659e-14
 339.65  4.87566e-14
 339.66  5.03989e-14
 339.68  6.41554e-14
 339.69  5.22350e-14
 339.70  5.66863e-14
 339.72  4.99221e-14
 339.73  5.97836e-14
 339.74  5.87935e-14
 339.75  6.19877e-14
 339.77  4.79838e-14
 339.78  4.98177e-14
 339.79  4.25249e-14
 339.81  5.07893e-14
 339.82  6.36325e-14
 339.83  6.60019e-14
 339.85  6.44261e-14
 339.86  5.38765e-14
 339.87  5.94991e-14
 339.88  6.06513e-14
 339.90  6.18487e-14
 339.91  4.99863e-14
 339.92  4.86178e-14
 339.94  4.10633e-14
 339.95  3.81571e-14
 339.96  4.83766e-14
 339.98  5.25545e-14
 339.99  6.42000e-14
 340.00  7.08879e-14
 340.01  7.18462e-14
 340.03  6.72380e-14
 340.04  6.70752e-14
 340.05  6.86411e-14
 340.07  6.27291e-14
 340.08  6.22180e-14
 340.09  8.08813e-14
 340.11  6.51188e-14
